Isolates,Level 1
6680_5#14_S_pneumoniae_Spanish_23F.dna,6
6680_5#15_S_pneumoniae_Spanish_23F.dna,13
6680_5#16_S_pneumoniae_Spanish_23F.dna,29
6680_5#17_S_pneumoniae_Spanish_23F.dna,13
6680_5#18_S_pneumoniae_Spanish_23F.dna,13
6680_5#19_S_pneumoniae_Spanish_23F.dna,20
6680_5#1_S_pneumoniae_Spanish_23F.dna,2
6680_5#20_S_pneumoniae_Spanish_23F.dna,29
6680_5#21_S_pneumoniae_Spanish_23F.dna,26
6680_5#22_S_pneumoniae_Spanish_23F.dna,13
6680_5#23_S_pneumoniae_Spanish_23F.dna,20
6680_5#24_S_pneumoniae_Spanish_23F.dna,13
6680_5#2_S_pneumoniae_Spanish_23F.dna,25
6680_5#3_S_pneumoniae_Spanish_23F.dna,4
6680_5#4_S_pneumoniae_Spanish_23F.dna,25
6680_5#5_S_pneumoniae_Spanish_23F.dna,32
6680_5#6_S_pneumoniae_Spanish_23F.dna,28
6680_5#7_S_pneumoniae_Spanish_23F.dna,13
6680_5#8_S_pneumoniae_Spanish_23F.dna,10
6680_5#9_S_pneumoniae_Spanish_23F.dna,25
6680_6#10_S_pneumoniae_Spanish_23F.dna,33
6680_6#11_S_pneumoniae_Spanish_23F.dna,25
6680_6#12_S_pneumoniae_Spanish_23F.dna,18
6680_6#13_S_pneumoniae_Spanish_23F.dna,13
6680_6#14_S_pneumoniae_Spanish_23F.dna,9
6680_6#15_S_pneumoniae_Spanish_23F.dna,3
6680_6#16_S_pneumoniae_Spanish_23F.dna,2
6680_6#17_S_pneumoniae_Spanish_23F.dna,13
6680_6#18_S_pneumoniae_Spanish_23F.dna,29
6680_6#19_S_pneumoniae_Spanish_23F.dna,29
6680_6#1_S_pneumoniae_Spanish_23F.dna,29
6680_6#20_S_pneumoniae_Spanish_23F.dna,20
6680_6#21_S_pneumoniae_Spanish_23F.dna,25
6680_6#22_S_pneumoniae_Spanish_23F.dna,20
6680_6#23_S_pneumoniae_Spanish_23F.dna,30
6680_6#24_S_pneumoniae_Spanish_23F.dna,20
